KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
03353,HARBURG,103791,56088,1646,1443,249,35,2151,10949,12949,44669,47009,41631,946
03354,LUECHOW-DANNENBERG,18226,11220,725,116,38,4,534,3326,3513,9600,7639,5186,204
03355,LUENEBURG,65598,35704,988,636,181,10,1322,7583,8784,29124,28550,25872,655
03356,OSTERHOLZ,47447,22361,1062,273,122,13,887,5521,6369,22208,19737,15455,294
03357,ROTENBURG(WUEMME),63690,44646,1328,545,145,19,1220,8969,9697,33070,30478,25321,476
03358,HEIDEKREIS,53526,31511,1157,301,89,14,1218,7411,8135,26365,23785,17395,489
03359,STADE,79381,41379,1152,765,173,22,1374,8771,10216,36163,35212,29155,546
03360,UELZEN,36615,18454,523,265,61,8,722,4655,4860,16771,15142,12930,243
03361,VERDEN,55442,28567,978,354,101,16,1020,5928,6839,25756,24486,19958,342
03401,"DELMENHORST,STADT",29274,11633,590,345,35,9,437,3195,3924,13215,10806,9522,152
03402,"EMDEN,STADT",16483,7401,370,75,24,7,234,1730,1926,7248,6608,6313,98
03403,"OLDENBURG(OLDENB),STADT",54814,30400,1513,886,171,17,1179,6277,6932,24359,23778,23193,492
03404,"OSNABRUECK,STADT",54297,27275,1025,906,191,10,1114,6086,6608,23445,21139,23756,402
03405,"WILHELMSHAVEN,STADT",28341,10689,639,198,19,10,427,3134,3858,12088,10657,9255,102
03451,AMMERLAND,48457,28488,1211,309,93,23,889,5785,6843,23001,22557,17981,315
03452,AURICH,73119,38790,2430,477,166,13,1348,9391,10319,35795,31653,24756,568
03453,CLOPPENBURG,49920,46559,1489,257,83,14,965,7119,9448,31226,29167,18518,321
03454,EMSLAND,104581,88082,3215,698,181,14,1649,11605,15953,58839,61222,44927,752
03455,FRIESLAND,41365,21653,1298,281,84,24,806,5359,6095,19469,17978,13873,328
03456,GRAFSCHAFT BENTHEIM,41846,38018,2258,383,83,11,781,4883,7215,24468,25447,18815,266
03457,LEER,61966,36593,2184,340,91,17,1095,8441,10260,32471,27898,19555,400
03458,OLDENBURG(OLDENBURG),50270,29901,1409,385,127,18,928,5982,7080,24679,23472,18508,320
03459,OSNABRUECK,144097,78202,2735,1146,255,31,2766,17512,19154,70710,62776,50056,956
03460,VECHTA,46877,37361,946,424,91,16,950,5782,7195,26113,25578,18838,280
03461,WESERMARSCH,32994,18510,1051,180,54,18,623,4185,5249,16406,14558,10961,248
03462,WITTMUND,22373,12191,742,138,20,6,498,3110,3390,11226,9696,6874,195
05111,"DUESSELDORF, STADT",189583,113441,3486,3473,567,64,5010,19287,21823,72259,70955,113360,1501
05112,"DUISBURG,STADT",164453,58316,5275,1383,147,36,2942,17929,22894,72974,55019,53654,622
05113,"ESSEN,STADT",206637,73859,4690,2277,373,47,3689,20149,23304,80740,71438,84056,762
05114,"KREFELD,STADT",82017,33016,2407,791,121,20,1642,8642,10220,35118,29349,31178,405
05116,"MOENCHENGLADBACH,STADT",95203,38244,2791,893,167,32,1974,10305,12529,40795,34522,34579,570
05117,"MUELHEIM A.D.RUHR,STADT",67862,22980,1315,683,156,9,1382,6816,7624,26374,23969,25065,296
05119,"OBERHAUSEN,STADT",82528,24916,2108,609,79,13,1509,8276,9805,33761,27760,27483,358
05120,"REMSCHEID,STADT",43693,16403,730,444,61,14,699,3803,4471,16926,16369,17969,178
05122,"SOLINGEN,STADT",66813,23568,1238,783,172,13,1305,6971,7509,26307,22489,26087,356
05124,"WUPPERTAL,STADT",121020,46458,2445,1407,330,46,2202,12092,13960,49275,43512,47399,689
05154,KLEVE,112021,70643,6590,1000,184,32,2369,14025,18905,57919,52450,41442,953
05158,METTMANN,201143,85785,3727,2793,439,38,3703,19349,22045,80959,77349,85596,965
05162,NEUSS,184844,79880,3960,2153,376,57,4209,16797,20425,74225,70825,75970,1668
05166,VIERSEN,124141,56148,5049,887,229,36,2536,13684,16305,55381,49809,44543,852
05170,WESEL,192891,80768,7251,1622,279,40,3392,19961,24555,85260,76170,69425,1004
05314,"BONN,STADT",102319,69165,1579,1676,226,25,3066,11075,12371,42409,41054,60459,1085
05315,"KOELN,STADT",318983,151837,5461,5611,820,135,7207,31036,38374,129336,110928,154960,2230
05316,"LEVERKUSEN,STADT",62362,25049,1187,883,112,12,1217,6095,7238,25635,22108,25895,308
05334,"AACHEN, STAEDTEREGION",193536,87987,6037,2073,551,46,3716,19195,23705,80944,77315,79916,1067
05358,DUEREN,107076,49038,2659,897,186,49,2223,11278,13902,46813,43190,39623,602
05362,RHEIN-ERFT-KREIS,191706,79385,3458,1951,294,91,3776,18091,23418,79652,73349,74187,1157
05366,EUSKIRCHEN,82802,42570,2035,774,159,28,1524,8576,11086,36568,33928,34345,510
05370,HEINSBERG,98380,53218,5146,925,189,24,1965,11448,14592,46617,42767,37978,770
05374,OBERBERGISCHER KREIS,116148,56061,2105,1018,214,41,2206,11528,14482,52318,48328,43433,908
05378,RHEIN.-BERGISCHER KREIS,124425,50057,2193,1603,298,25,2664,12125,13972,49506,47625,48564,815
05382,RHEIN-SIEG-KREIS,245503,108360,5127,2893,502,71,4955,25567,30926,106650,98162,90124,1607
05512,"BOTTROP,STADT",50932,14911,1325,394,61,9,959,4832,5655,19809,17158,16710,245
05513,"GELSENKIRCHEN,STADT",90135,28093,2452,781,114,8,1995,9907,11478,37244,28717,29015,678
05515,"MUENSTER,STADT",91196,51171,1903,1066,314,31,2134,10173,11518,39429,38137,41263,681
05554,BORKEN,127247,87081,5600,835,261,29,2149,13541,18689,66516,64717,51535,930
05558,COESFELD,85245,49147,2325,1014,184,15,1543,9310,12033,41200,40023,31464,555
05562,RECKLINGHAUSEN,254936,86272,6096,2385,299,61,4371,25825,29698,105916,93659,85011,1065
05566,STEINFURT,166408,96720,4008,1380,347,29,2838,18270,23317,83575,76224,59974,1223
05570,WARENDORF,110300,55795,2327,826,206,16,2316,12816,14866,52498,46304,37413,808
05711,"BIELEFELD,STADT",110894,54152,2056,1271,706,29,2112,12410,13937,48827,42937,45469,1064
05754,GUETERSLOH,146951,74574,2481,1001,372,37,2966,17317,19165,68238,60311,53116,978
05758,HERFORD,110100,47256,1951,833,216,30,2081,11950,13522,47284,42848,40293,719
05762,HOEXTER,56859,29583,1246,304,119,14,995,6400,7192,26774,25225,19973,355
05766,LIPPE,142532,66983,3027,964,320,55,2890,18140,19259,63541,57195,49034,1145
05770,MINDEN-LUEBBECKE,134373,61137,2503,1076,273,32,2885,16580,17936,61243,51377,45238,1152
05774,PADERBORN,113030,62155,2710,1127,346,21,1856,12210,14672,53963,50320,43404,701
05911,"BOCHUM,STADT",146460,46020,2710,1569,333,22,2502,13557,14933,54550,46875,61623,725
05913,"DORTMUND,STADT",201981,78188,3808,2063,383,38,3868,20706,24218,84234,72150,76026,1191
05914,"HAGEN,STADT",70144,25376,1079,683,130,18,1477,7363,8338,29446,24681,24347,402
05915,"HAMM,STADT",66762,27340,1182,515,119,12,1166,7567,8932,29574,24653,21960,398
